airport_1,airport_2,nsmiles
ABE,PIE,970
ABE,TPA,970
ABQ,DAL,580
ABQ,DFW,580
ABQ,PHX,328
ABQ,BOS,1974
ABQ,MHT,1974
ABQ,PVD,1974
ABQ,BWI,1670
ABQ,DCA,1670
ABQ,IAD,1670
ABQ,MDW,1121
ABQ,ORD,1121
ABQ,HOU,759
ABQ,IAH,759
ABQ,EWR,1861
ABQ,HPN,1861
ABQ,ISP,1861
ABQ,JFK,1861
ABQ,LGA,1861
ABQ,SWF,1861
ABQ,OAK,896
ABQ,SFO,896
ABQ,SJC,896
ABQ,BUR,677
ABQ,LAX,677
ABQ,LGB,677
ABQ,ONT,677
ABQ,SNA,677
ACK,EWR,218
ACK,HPN,218
ACK,JFK,218
ACK,LGA,218
COS,DAL,602
COS,DFW,602
COS,PHX,551
COS,BWI,1503
COS,DCA,1503
COS,IAD,1503
COS,BUR,833
COS,LAX,833
COS,LGB,833
COS,ONT,833
COS,SNA,833
DAL,PIT,1067
DFW,PIT,1067
DAL,DEN,651
DFW,DEN,651
DAL,TUS,824
DFW,TUS,824
DAL,PHX,879
DFW,PHX,879
DAL,BDL,1471
DFW,BDL,1471
DAL,SEA,1670
DFW,SEA,1670
DAL,ELP,562
DFW,ELP,562
DAL,BNA,631
DFW,BNA,631
DAL,BWI,1217
DAL,DCA,1217
DAL,IAD,1217
DFW,BWI,1217
DFW,DCA,1217
DFW,IAD,1217
DAL,STL,550
DFW,STL,550
DAL,MYR,1048
DFW,MYR,1048
DAL,JAX,918
DFW,JAX,918
DAL,DTW,986
DFW,DTW,986
DAL,DSM,624
DFW,DSM,624
DAL,HOU,247
DAL,IAH,247
DFW,HOU,247
DFW,IAH,247
DAL,MCO,985
DFW,MCO,985
DAL,ECP,685
DFW,ECP,685
DAL,VPS,641
DFW,VPS,641
DAL,FAT,1325
DFW,FAT,1325
DAL,MSP,853
DFW,MSP,853
DAL,EWR,1428
DAL,HPN,1428
DAL,ISP,1428
DAL,JFK,1428
DAL,LGA,1428
DFW,EWR,1428
DFW,HPN,1428
DFW,ISP,1428
DFW,JFK,1428
DFW,LGA,1428
DFW,SWF,1428
DAL,RSW,1017
DFW,RSW,1017
DAL,GSP,862
DFW,GSP,862
DAL,GEG,1486
DFW,GEG,1486
DAL,GRR,931
DFW,GRR,931
DAL,HRL,461
DFW,HRL,461
DAL,LAS,1067
DFW,LAS,1067
DAL,IND,761
DFW,IND,761
DAL,OAK,1476
DAL,SFO,1476
DAL,SJC,1476
DFW,OAK,1476
DFW,SFO,1476
DFW,SJC,1476
DAL,FLL,1121
DAL,MIA,1121
DFW,FLL,1121
DFW,MIA,1121
DAL,BUR,1246
DAL,LAX,1246
DAL,LGB,1246
DAL,ONT,1246
DAL,SNA,1246
DFW,BUR,1246
DFW,LAX,1246
DFW,LGB,1246
DFW,ONT,1246
DFW,SNA,1246
